enrolment_no,standards,assessments
11402,CBSE-1|CBSE-2|CBSE-3|CBSE-4,39
11413,CBSE-1|CBSE-2,28
11423,CBSE-1,14
11425,CBSE-1,14
11426,CBSE-1|CBSE-2|CBSE-3|CBSE-4,60
11427,CBSE-1,14
11432,CBSE-1|CBSE-2|CBSE-3,37
11433,CBSE-1|CBSE-2|CBSE-3,30
11434,CBSE-1|CBSE-2|CBSE-3|CBSE-4,58
11435,CBSE-1|CBSE-2|CBSE-3|CBSE-4,61
11437,CBSE-1|CBSE-2,28
11442,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11444,CBSE-1|CBSE-2,30
11445,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11449,CBSE-1|CBSE-2|CBSE-3|CBSE-4,48
11457,CBSE-1|CBSE-2|CBSE-3|CBSE-4,55
11459,CBSE-1|CBSE-2|CBSE-3,39
11461,CBSE-1,14
11463,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11471,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11473,CBSE-1|CBSE-2|CBSE-3,30
11478,CBSE-1|CBSE-2|CBSE-3,41
11482,CBSE-1|CBSE-2|CBSE-3|CBSE-4,58
11485,CBSE-1,14
11489,CBSE-1|CBSE-2|CBSE-3|CBSE-4,51
11494,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11495,CBSE-1|CBSE-2|CBSE-3,42
11496,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11497,CBSE-6|CBSE-7,83
11499,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11500,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11502,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
11505,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11506,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11508,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11509,CBSE-1|CBSE-2,30
11510,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
11511,CBSE-10|CBSE-11|CBSE-8|CBSE-9,118
11512,CBSE-4|CBSE-5|CBSE-6,64
11514,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11515,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11516,CBSE-7,42
11517,CBSE-10|CBSE-9,59
11518,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11520,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11521,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11522,CBSE-1|CBSE-2|CBSE-3,40
11523,CBSE-10|CBSE-8|CBSE-9,107
11524,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11525,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
11528,CBSE-3|CBSE-4|CBSE-5|CBSE-6,79
11529,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11530,CBSE-1|CBSE-2|CBSE-3|CBSE-4|CBSE-5,64
11533,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11536,CBSE-10|CBSE-9,60
11538,CBSE-3|CBSE-4|CBSE-5,48
11539,CBSE-1|CBSE-2|CBSE-3,42
11541,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11542,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11543,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,107
11544,CBSE-1|CBSE-2|CBSE-3,42
11545,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11546,CBSE-10|CBSE-11|CBSE-8|CBSE-9,120
11548,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11549,CBSE-4,17
11551,CBSE-2|CBSE-4|CBSE-5|CBSE-6|CBSE-7,92
11552,CBSE-1|CBSE-2,16
11554,CBSE-4|CBSE-5|CBSE-6,64
11555,CBSE-7|CBSE-8|CBSE-9,114
11556,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11557,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11558,CBSE-1|CBSE-2|CBSE-3|CBSE-4,58
11559,CBSE-10|CBSE-7|CBSE-8|CBSE-9,115
11561,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11565,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11566,CBSE-10|CBSE-7|CBSE-8|CBSE-9,129
11567,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
11571,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11573,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11574,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11576,CBSE-1|CBSE-2|CBSE-3,39
11578,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11580,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11581,CBSE-10|CBSE-7|CBSE-8|CBSE-9,132
11582,CBSE-10|CBSE-11|CBSE-12|CBSE-9,82
11593,CBSE-10|CBSE-11|CBSE-9,68
11594,CBSE-10|CBSE-9,58
11596,CBSE-1|CBSE-2|CBSE-3|CBSE-4,42
11598,CBSE-7|CBSE-8,85
11599,CBSE-6|CBSE-7,84
11600,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11603,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11604,CBSE-3|CBSE-4|CBSE-5|CBSE-6|CBSE-7,110
11605,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
11607,CBSE-10|CBSE-7|CBSE-8|CBSE-9,129
11608,CBSE-10|CBSE-11|CBSE-12|CBSE-9,80
11610,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11611,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
11613,CBSE-1|CBSE-2|CBSE-3|CBSE-4,62
11614,CBSE-3|CBSE-4|CBSE-5|CBSE-6,83
11618,CBSE-6|CBSE-7|CBSE-8|CBSE-9,132
11619,CBSE-1|CBSE-2|CBSE-3,42
11620,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11621,CBSE-10|CBSE-11|CBSE-12|CBSE-9,82
11624,CBSE-1|CBSE-2,30
11625,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11626,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11627,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11631,CBSE-10|CBSE-11|CBSE-12|CBSE-9,80
11632,CBSE-1|CBSE-2|CBSE-3|CBSE-4,55
11633,CBSE-2,14
11635,CBSE-1|CBSE-2|CBSE-3,34
11637,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
11640,CBSE-1|CBSE-2,28
11642,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
11644,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11645,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11649,CBSE-1|CBSE-2|CBSE-3,40
11653,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11654,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
11657,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11658,CBSE-1|CBSE-2|CBSE-3|CBSE-4,62
11659,CBSE-10|CBSE-9,60
11661,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
11663,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11665,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11667,CBSE-10|CBSE-11|CBSE-8|CBSE-9,112
11669,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
11670,CBSE-10|CBSE-11|CBSE-9,98
11672,CBSE-4|CBSE-5|CBSE-6|CBSE-7,106
11674,CBSE-1|CBSE-2,28
11676,CBSE-1|CBSE-2,28
11680,CBSE-10|CBSE-7|CBSE-8|CBSE-9,120
11683,CBSE-10|CBSE-9,56
11686,CBSE-10|CBSE-11|CBSE-12|CBSE-9,66
11687,CBSE-10|CBSE-8|CBSE-9,107
11688,CBSE-10|CBSE-7|CBSE-8|CBSE-9,132
11690,CBSE-4,17
11691,CBSE-7|CBSE-8,88
11692,CBSE-10|CBSE-11|CBSE-12|CBSE-9,80
11693,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
11694,CBSE-1|CBSE-2|CBSE-3|CBSE-4,59
11695,CBSE-10|CBSE-7|CBSE-8|CBSE-9,130
11696,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
11703,CBSE-1|CBSE-2,28
11705,CBSE-1|CBSE-2|CBSE-3,41
11707,CBSE-1|CBSE-2|CBSE-3,38
11708,CBSE-1|CBSE-2|CBSE-3,39
11711,CBSE-1|CBSE-2|CBSE-3|CBSE-4,57
11715,CBSE-1|CBSE-2|CBSE-3,54
11719,CBSE-1|CBSE-2|CBSE-3|CBSE-4,55
11720,CBSE-1|CBSE-2,28
11723,CBSE-1|CBSE-2|CBSE-3,39
11726,CBSE-1|CBSE-2|CBSE-3|CBSE-4,55
11727,CBSE-1|CBSE-2|CBSE-3|CBSE-4,62
11731,CBSE-10|CBSE-11|CBSE-12|CBSE-9,82
11732,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11733,CBSE-4|CBSE-5|CBSE-6,66
11734,CBSE-8,42
11735,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
11736,CBSE-10|CBSE-11|CBSE-8|CBSE-9,116
11737,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11739,CBSE-2|CBSE-3|CBSE-4|CBSE-5,64
11740,CBSE-10|CBSE-9,60
11741,CBSE-6|CBSE-7|CBSE-8|CBSE-9,118
11742,CBSE-10|CBSE-11|CBSE-8|CBSE-9,112
11744,CBSE-10|CBSE-11|CBSE-12|CBSE-9,77
11745,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
11747,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
11748,CBSE-10|CBSE-8|CBSE-9,77
11750,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
11751,CBSE-10|CBSE-11|CBSE-8|CBSE-9,112
11752,CBSE-6|CBSE-7|CBSE-8|CBSE-9,132
11755,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11757,CBSE-10|CBSE-7|CBSE-8|CBSE-9,123
11759,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
11760,CBSE-9,30
11761,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11762,CBSE-4|CBSE-5|CBSE-6,64
11764,CBSE-4|CBSE-5|CBSE-6|CBSE-7,103
11767,CBSE-6|CBSE-7|CBSE-8|CBSE-9,132
11768,CBSE-10|CBSE-7|CBSE-8|CBSE-9,121
11769,CBSE-5|CBSE-6|CBSE-7|CBSE-8,121
11770,CBSE-10|CBSE-7|CBSE-8|CBSE-9,122
11771,CBSE-6,42
11772,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11773,CBSE-3,17
11774,CBSE-10|CBSE-7|CBSE-8|CBSE-9,129
11775,CBSE-10|CBSE-9,60
11777,CBSE-4|CBSE-5|CBSE-6|CBSE-7,84
11778,CBSE-6|CBSE-7|CBSE-8|CBSE-9,130
11779,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11780,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11781,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11782,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11783,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
11784,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11785,CBSE-2,14
11786,CBSE-2,14
11787,CBSE-11|CBSE-12,30
11788,CBSE-11|CBSE-12,30
11789,CBSE-11|CBSE-12,30
11790,CBSE-11|CBSE-12,30
11791,CBSE-11,19
11792,CBSE-11|CBSE-12,30
11793,CBSE-11|CBSE-12,30
11794,CBSE-11|CBSE-12,30
11795,CBSE-11|CBSE-12,30
11796,CBSE-11,20
11797,CBSE-11|CBSE-12,30
11798,CBSE-11|CBSE-12,29
11799,CBSE-11|CBSE-12,29
11800,CBSE-11|CBSE-12,24
11801,CBSE-11|CBSE-12,30
11802,CBSE-11|CBSE-12,29
11803,CBSE-11|CBSE-12,30
11804,CBSE-11|CBSE-12,29
11805,CBSE-11|CBSE-12,30
11806,CBSE-11|CBSE-12,29
11807,CBSE-11|CBSE-12,30
11808,CBSE-11|CBSE-12,29
11809,CBSE-11|CBSE-12,30
11810,CBSE-11|CBSE-12,30
11811,CBSE-11|CBSE-12,30
11812,CBSE-11|CBSE-12,30
11813,CBSE-11|CBSE-12,30
11814,CBSE-11|CBSE-12,30
11815,CBSE-11|CBSE-12,30
11816,CBSE-11|CBSE-12,30
11817,CBSE-11|CBSE-12,30
11818,CBSE-11|CBSE-12,30
11819,CBSE-11|CBSE-12,30
11820,CBSE-11|CBSE-12,30
11821,CBSE-11|CBSE-12,28
11822,CBSE-11|CBSE-12,30
11823,CBSE-11|CBSE-12,30
11824,CBSE-11|CBSE-12,30
11825,CBSE-11|CBSE-12,30
11826,CBSE-11|CBSE-12,30
11827,CBSE-11|CBSE-12,30
11828,CBSE-11|CBSE-12,30
11829,CBSE-11|CBSE-12,30
11830,CBSE-11|CBSE-12,30
11831,CBSE-11|CBSE-12,30
11832,CBSE-11|CBSE-12,30
11833,CBSE-11|CBSE-12,28
11834,CBSE-11|CBSE-12,30
11835,CBSE-11|CBSE-12,30
11836,CBSE-11|CBSE-12,30
11837,CBSE-11,20
11838,CBSE-11|CBSE-12,30
11839,CBSE-11|CBSE-12,30
11840,CBSE-11|CBSE-12,30
11841,CBSE-11,18
11842,CBSE-11|CBSE-12,30
11843,CBSE-11|CBSE-12,30
11844,CBSE-11|CBSE-12,30
11845,CBSE-11|CBSE-12,30
11847,CBSE-11|CBSE-12,30
11848,CBSE-11|CBSE-12,30
11849,CBSE-11|CBSE-12,30
11850,CBSE-11|CBSE-12,30
11851,CBSE-11|CBSE-12,30
11852,CBSE-11|CBSE-12,30
11853,CBSE-11|CBSE-12,30
11854,CBSE-11|CBSE-12,30
11855,CBSE-11|CBSE-12,30
11856,CBSE-11|CBSE-12,30
11857,CBSE-11|CBSE-12,30
11858,CBSE-11|CBSE-12,25
11859,CBSE-7|CBSE-8|CBSE-9,114
11860,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
11861,CBSE-2|CBSE-3|CBSE-4,41
11862,CBSE-2|CBSE-3|CBSE-4,41
11867,CBSE-4|CBSE-5|CBSE-7,71
11868,CBSE-8,33
11869,CBSE-10|CBSE-7|CBSE-8|CBSE-9,122
11873,CBSE-7|CBSE-8,18
11875,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11876,CBSE-6|CBSE-7|CBSE-8|CBSE-9,123
11878,CBSE-10|CBSE-7|CBSE-8|CBSE-9,130
11879,CBSE-10|CBSE-11|CBSE-12|CBSE-9,80
11880,CBSE-10|CBSE-9,53
11882,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
11883,CBSE-10|CBSE-11|CBSE-12|CBSE-9,87
11884,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
11885,CBSE-11|CBSE-12,35
11887,CBSE-11|CBSE-12,35
11888,CBSE-11|CBSE-12,40
11894,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
11895,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11896,CBSE-10|CBSE-11|CBSE-12|CBSE-9,78
11899,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
11901,CBSE-3,17
11902,CBSE-4|CBSE-5|CBSE-6|CBSE-7,97
11903,CBSE-10|CBSE-11|CBSE-8|CBSE-9,116
11904,CBSE-3|CBSE-4,34
11905,CBSE-10|CBSE-7|CBSE-8|CBSE-9,132
11906,CBSE-6|CBSE-7|CBSE-8|CBSE-9,116
11907,CBSE-3|CBSE-4|CBSE-5|CBSE-6,81
11908,CBSE-3|CBSE-4|CBSE-5|CBSE-6,66
11910,CBSE-10|CBSE-8|CBSE-9,82
11912,CBSE-3,17
11914,CBSE-10|CBSE-11|CBSE-8|CBSE-9,110
11917,CBSE-11|CBSE-12,25
11920,CBSE-1|CBSE-2|CBSE-3|CBSE-4,60
11921,CBSE-4|CBSE-5|CBSE-6|CBSE-7,92
11922,CBSE-1|CBSE-2,28
11923,CBSE-11|CBSE-12,30
11924,CBSE-10|CBSE-8|CBSE-9,93
11925,CBSE-10|CBSE-7|CBSE-8|CBSE-9,111
11926,CBSE-6|CBSE-7|CBSE-8|CBSE-9,114
11927,CBSE-3|CBSE-4|CBSE-5|CBSE-6,59
11929,CBSE-1|CBSE-2|CBSE-3,42
11930,CBSE-10|CBSE-7|CBSE-8|CBSE-9,103
11931,CBSE-10|CBSE-11|CBSE-12|CBSE-9,81
11934,CBSE-10|CBSE-9,55
11935,CBSE-10|CBSE-7|CBSE-8|CBSE-9,107
11936,CBSE-5|CBSE-6|CBSE-7|CBSE-8,131
11941,CBSE-1|CBSE-3,15
11943,CBSE-1|CBSE-3,15
11945,CBSE-1|CBSE-2|CBSE-3,44
11946,CBSE-1|CBSE-2|CBSE-3,40
11949,CBSE-1|CBSE-2|CBSE-3,42
11950,CBSE-1|CBSE-2|CBSE-3,34
11953,CBSE-1|CBSE-2|CBSE-3,43
11960,CBSE-1|CBSE-2,26
11962,CBSE-1|CBSE-2|CBSE-3,43
11965,CBSE-1|CBSE-2,26
11966,CBSE-1|CBSE-2,26
11967,CBSE-1|CBSE-2|CBSE-3,40
11969,CBSE-1|CBSE-2|CBSE-3,41
11973,CBSE-1|CBSE-2,16
11978,CBSE-1|CBSE-2|CBSE-3,42
11984,CBSE-1|CBSE-2,23
11985,CBSE-1,14
11987,CBSE-1|CBSE-3,15
11989,CBSE-1|CBSE-2|CBSE-3,42
11990,CBSE-1,14
11991,CBSE-1,14
11993,CBSE-1|CBSE-2|CBSE-3,44
11997,CBSE-1|CBSE-2|CBSE-3,41
12001,CBSE-1|CBSE-2|CBSE-3,42
12002,CBSE-1|CBSE-2|CBSE-3,41
12003,CBSE-1|CBSE-2|CBSE-3,44
12009,CBSE-1|CBSE-2|CBSE-3,44
12015,CBSE-1|CBSE-2|CBSE-3,39
12019,CBSE-1,14
12026,CBSE-1,14
12029,CBSE-1|CBSE-2|CBSE-3,25
12031,CBSE-1|CBSE-2,24
12034,CBSE-1,1
12035,CBSE-1|CBSE-2|CBSE-3,42
12039,CBSE-1,14
12041,CBSE-1|CBSE-2|CBSE-3,24
12043,CBSE-1,1
12045,CBSE-1|CBSE-2|CBSE-3,38
12052,CBSE-1|CBSE-2|CBSE-3,42
12056,CBSE-1|CBSE-2,15
12057,CBSE-1|CBSE-2|CBSE-3,42
12062,CBSE-10|CBSE-8|CBSE-9,88
12067,CBSE-1|CBSE-2|CBSE-3,41
12068,CBSE-1,14
12070,CBSE-10|CBSE-8|CBSE-9,82
12071,CBSE-10|CBSE-8|CBSE-9,81
12073,CBSE-1|CBSE-2,25
12075,CBSE-1|CBSE-2|CBSE-3,42
12077,CBSE-10|CBSE-11|CBSE-9,75
12079,CBSE-6|CBSE-7|CBSE-8,114
12080,CBSE-2|CBSE-3|CBSE-4|CBSE-5,57
12082,CBSE-10|CBSE-11|CBSE-9,72
12083,CBSE-10|CBSE-8|CBSE-9,85
12084,CBSE-7|CBSE-8|CBSE-9,86
12087,CBSE-10|CBSE-8|CBSE-9,84
12089,CBSE-10|CBSE-11|CBSE-9,75
12090,CBSE-7,42
12092,CBSE-10|CBSE-8|CBSE-9,82
12095,CBSE-10|CBSE-8|CBSE-9,85
12097,CBSE-10|CBSE-11|CBSE-9,74
12098,CBSE-6|CBSE-7|CBSE-8|CBSE-9,90
12099,CBSE-10|CBSE-11|CBSE-9,75
12101,CBSE-2|CBSE-5|CBSE-6|CBSE-7|CBSE-8,93
12103,CBSE-7|CBSE-8|CBSE-9,86
12106,CBSE-10|CBSE-8|CBSE-9,86
12109,CBSE-10|CBSE-8|CBSE-9,81
12113,CBSE-7|CBSE-8|CBSE-9,85
12115,CBSE-1|CBSE-2|CBSE-3,42
12116,CBSE-1|CBSE-2|CBSE-3,28
12117,CBSE-10|CBSE-11|CBSE-9,74
12120,CBSE-8,3
12122,CBSE-10|CBSE-11|CBSE-9,75
12127,CBSE-10|CBSE-11|CBSE-9,71
12128,CBSE-6|CBSE-7|CBSE-8,112
12129,CBSE-10|CBSE-9,65
12133,CBSE-6|CBSE-7|CBSE-8,112
12136,CBSE-6|CBSE-7|CBSE-8,101
12138,CBSE-6|CBSE-7|CBSE-8,112
12139,CBSE-10|CBSE-9,64
12140,CBSE-10|CBSE-11|CBSE-9,75
12142,CBSE-10|CBSE-11|CBSE-9,75
12143,CBSE-7|CBSE-8|CBSE-9,85
12144,CBSE-5|CBSE-6|CBSE-7,90
12145,CBSE-10|CBSE-11|CBSE-9,75
12146,CBSE-6|CBSE-7|CBSE-8,105
12148,CBSE-10|CBSE-11|CBSE-9,75
12149,CBSE-4|CBSE-5|CBSE-6,75
12151,CBSE-1|CBSE-2|CBSE-3,38
12152,CBSE-10,29
12153,CBSE-4,17
12154,CBSE-10|CBSE-9,54
12155,CBSE-8,42
12157,CBSE-10|CBSE-11|CBSE-9,75
12159,CBSE-5|CBSE-6|CBSE-7,81
12163,CBSE-2|CBSE-3|CBSE-4,42
12164,CBSE-10|CBSE-11|CBSE-9,75
12165,CBSE-7|CBSE-8|CBSE-9,85
12166,CBSE-7|CBSE-8|CBSE-9,82
12167,CBSE-6|CBSE-7|CBSE-8,112
12168,CBSE-12,10
12169,CBSE-1|CBSE-2,24
12170,CBSE-1|CBSE-2|CBSE-3,25
12171,CBSE-6|CBSE-7|CBSE-8|CBSE-9,90
12174,CBSE-7|CBSE-8|CBSE-9,86
12175,CBSE-10|CBSE-8|CBSE-9,85
12176,CBSE-3|CBSE-4|CBSE-5,53
12178,CBSE-10|CBSE-11|CBSE-12,52
12179,CBSE-5|CBSE-6|CBSE-7,82
12180,CBSE-10|CBSE-11|CBSE-9,72
12183,CBSE-10|CBSE-8|CBSE-9,82
12184,CBSE-3|CBSE-4|CBSE-5,50
12186,CBSE-7|CBSE-8|CBSE-9,84
12187,CBSE-10|CBSE-11|CBSE-9,75
12188,CBSE-7|CBSE-8|CBSE-9,86
12189,CBSE-5|CBSE-6|CBSE-7,81
12191,CBSE-10|CBSE-8|CBSE-9,84
12192,CBSE-8|CBSE-9,73
12193,CBSE-2|CBSE-3|CBSE-4,33
12195,CBSE-6|CBSE-7|CBSE-8|CBSE-9,90
12198,CBSE-10|CBSE-11|CBSE-9,75
12199,CBSE-1,14
12200,CBSE-4,17
12202,CBSE-10|CBSE-11|CBSE-9,75
12204,CBSE-10|CBSE-11|CBSE-9,75
12205,CBSE-4|CBSE-5,31
12206,CBSE-10|CBSE-11|CBSE-9,75
12207,CBSE-1|CBSE-2|CBSE-3,37
12208,CBSE-7|CBSE-8|CBSE-9,86
12212,CBSE-1|CBSE-2|CBSE-3,34
12214,CBSE-10|CBSE-11|CBSE-9,74
12215,CBSE-2|CBSE-5|CBSE-6|CBSE-7|CBSE-8,93
12217,CBSE-1|CBSE-2,23
12218,CBSE-10|CBSE-11|CBSE-9,75
12220,CBSE-6,41
12222,CBSE-10|CBSE-8|CBSE-9,88
12223,CBSE-10|CBSE-8|CBSE-9,86
12226,CBSE-10|CBSE-11|CBSE-9,74
12227,CBSE-10|CBSE-11|CBSE-9,75
12228,CBSE-10|CBSE-8|CBSE-9,86
12230,CBSE-10|CBSE-11|CBSE-12,55
12231,CBSE-1|CBSE-2|CBSE-3,28
12235,CBSE-10|CBSE-11|CBSE-9,74
12236,CBSE-7|CBSE-8|CBSE-9,86
12237,CBSE-10|CBSE-11|CBSE-9,75
12239,CBSE-10|CBSE-8|CBSE-9,69
12240,CBSE-10|CBSE-9,65
12241,CBSE-7|CBSE-8|CBSE-9,86
12242,CBSE-2,14
12244,CBSE-7|CBSE-8|CBSE-9,79
12245,CBSE-1|CBSE-2,16
12247,CBSE-1|CBSE-2|CBSE-3,39
12248,CBSE-7|CBSE-8|CBSE-9,83
12251,CBSE-10|CBSE-11|CBSE-9,75
12252,CBSE-10|CBSE-8|CBSE-9,85
12255,CBSE-7|CBSE-8|CBSE-9,86
12258,CBSE-10|CBSE-8|CBSE-9,83
12263,CBSE-6,42
12265,CBSE-1|CBSE-2|CBSE-3,34
12267,CBSE-5|CBSE-6|CBSE-7,91
12268,CBSE-6|CBSE-7|CBSE-8|CBSE-9,90
12269,CBSE-1|CBSE-2|CBSE-3,42
12271,CBSE-10|CBSE-8|CBSE-9,81
12272,CBSE-10|CBSE-9,60
12273,CBSE-5|CBSE-6|CBSE-7,85
12274,CBSE-10|CBSE-11|CBSE-9,75
12277,CBSE-10|CBSE-9,65
12281,CBSE-10,30
12284,CBSE-10|CBSE-11|CBSE-9,73
12285,CBSE-10|CBSE-11|CBSE-9,75
12286,CBSE-10|CBSE-9,64
12287,CBSE-6|CBSE-7|CBSE-8,111
12290,CBSE-10|CBSE-8|CBSE-9,83
12292,CBSE-10|CBSE-11|CBSE-9,76
12293,CBSE-7|CBSE-8|CBSE-9,85
12294,CBSE-5|CBSE-6|CBSE-7,89
12295,CBSE-10|CBSE-9,64
12298,CBSE-1|CBSE-2,23
12299,CBSE-4|CBSE-5|CBSE-6,65
12300,CBSE-6|CBSE-7|CBSE-8,108
12301,CBSE-2,14
12303,CBSE-10|CBSE-8|CBSE-9,81
12305,CBSE-1,14
12306,CBSE-2|CBSE-3|CBSE-4|CBSE-5,50
12308,CBSE-10|CBSE-11|CBSE-9,75
12311,CBSE-10|CBSE-11|CBSE-9,73
12312,CBSE-6|CBSE-7|CBSE-8,106
12314,CBSE-2|CBSE-5|CBSE-6|CBSE-7|CBSE-8,89
12315,CBSE-10|CBSE-11|CBSE-9,75
12316,CBSE-10|CBSE-11|CBSE-12,55
12318,CBSE-10|CBSE-8|CBSE-9,86
12319,CBSE-5|CBSE-6,47
12320,CBSE-10|CBSE-8|CBSE-9,83
12321,CBSE-4,17
12322,CBSE-1|CBSE-2,16
12325,CBSE-10|CBSE-8|CBSE-9,85
12326,CBSE-2|CBSE-3|CBSE-4,41
12328,CBSE-10|CBSE-8|CBSE-9,85
12329,CBSE-10|CBSE-11|CBSE-12,52
12332,CBSE-7|CBSE-8|CBSE-9,85
12333,CBSE-10|CBSE-8|CBSE-9,82
12334,CBSE-10|CBSE-11|CBSE-9,75
12336,CBSE-10|CBSE-11|CBSE-9,75
12337,CBSE-3|CBSE-4|CBSE-5,48
12338,CBSE-4|CBSE-5|CBSE-6,73
12339,CBSE-3|CBSE-4|CBSE-5,49
12340,CBSE-7|CBSE-8|CBSE-9,85
12341,CBSE-9,4
12345,CBSE-1|CBSE-2|CBSE-3,25
12348,CBSE-2|CBSE-3|CBSE-4|CBSE-5,48
12350,CBSE-10|CBSE-8|CBSE-9,86
12351,CBSE-10|CBSE-8|CBSE-9,85
12352,CBSE-2|CBSE-3,21
12353,CBSE-10|CBSE-11|CBSE-9,74
12355,CBSE-7|CBSE-8,60
12356,CBSE-10|CBSE-9,63
12357,CBSE-6|CBSE-7|CBSE-8,102
12358,CBSE-10|CBSE-11|CBSE-9,67
12359,CBSE-2,14
12362,CBSE-2|CBSE-3,21
12363,CBSE-10|CBSE-9,58
12364,CBSE-1,14
12365,CBSE-2|CBSE-3,19
12367,CBSE-10|CBSE-8|CBSE-9,83
12369,CBSE-6,40
12370,CBSE-5,19
12371,CBSE-4|CBSE-5,17
12372,CBSE-10|CBSE-8|CBSE-9,86
12373,CBSE-1|CBSE-2,15
12375,CBSE-10|CBSE-11|CBSE-9,75
12376,CBSE-6,40
12377,CBSE-10|CBSE-11|CBSE-9,76
12379,CBSE-5|CBSE-6,47
12380,CBSE-10|CBSE-9,62
12381,CBSE-1|CBSE-2|CBSE-3,41
12382,CBSE-1|CBSE-2|CBSE-3,29
