enrolment_no,standards,assessments
10347,CBSE-3,17
10349,CBSE-3|CBSE-4|CBSE-5|CBSE-6,92
10367,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
10380,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10390,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10391,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10397,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10398,CBSE-11|CBSE-12,38
10400,CBSE-3,17
10402,CBSE-3|CBSE-4,34
10406,CBSE-3|CBSE-4,34
10411,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10416,CBSE-3,17
10419,CBSE-3|CBSE-4|CBSE-5,48
10424,CBSE-6|CBSE-7,84
10428,CBSE-3|CBSE-4|CBSE-5|CBSE-6,92
10433,CBSE-5|CBSE-6|CBSE-7|CBSE-8,112
10434,CBSE-3|CBSE-4|CBSE-5,67
10441,CBSE-6|CBSE-7|CBSE-8|CBSE-9,120
10442,CBSE-6|CBSE-7|CBSE-8|CBSE-9,120
10444,CBSE-11|CBSE-12,30
10445,CBSE-11|CBSE-12,41
10447,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10454,CBSE-3|CBSE-4|CBSE-5|CBSE-6,68
10458,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
10459,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10468,CBSE-10|CBSE-11|CBSE-12|CBSE-9,85
10469,CBSE-11|CBSE-12,37
10470,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
10471,CBSE-6|CBSE-7|CBSE-8|CBSE-9,123
10472,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10474,CBSE-3|CBSE-4|CBSE-5,43
10475,CBSE-11|CBSE-12,40
10476,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10479,CBSE-10|CBSE-8|CBSE-9,109
10480,CBSE-5|CBSE-6|CBSE-7|CBSE-8,130
10481,CBSE-10|CBSE-11|CBSE-12|CBSE-9,88
10482,CBSE-10|CBSE-11|CBSE-12|CBSE-9,86
10483,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10485,CBSE-11|CBSE-12,40
10486,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10487,CBSE-3|CBSE-4|CBSE-5|CBSE-6,72
10488,CBSE-11|CBSE-12,39
10489,CBSE-3|CBSE-4|CBSE-5,48
10490,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10491,CBSE-8,42
10492,CBSE-11|CBSE-12,30
10494,CBSE-11|CBSE-12,37
10495,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
10496,CBSE-5|CBSE-6|CBSE-7|CBSE-8,135
10499,CBSE-11|CBSE-12,39
10500,CBSE-11|CBSE-12,30
10501,CBSE-3|CBSE-4|CBSE-5,47
10503,CBSE-10|CBSE-11|CBSE-12|CBSE-9,83
10504,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
10508,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10509,CBSE-6|CBSE-7|CBSE-8|CBSE-9,128
10510,CBSE-11|CBSE-12,30
10511,CBSE-11|CBSE-12,41
10526,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
10530,CBSE-10|CBSE-7|CBSE-8|CBSE-9,131
10531,CBSE-10|CBSE-7|CBSE-8|CBSE-9,124
10532,CBSE-10|CBSE-9,60
10533,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10534,CBSE-10|CBSE-11|CBSE-8|CBSE-9,120
10535,CBSE-10|CBSE-7|CBSE-8|CBSE-9,123
10537,CBSE-3|CBSE-4,34
10542,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
10544,CBSE-10|CBSE-8|CBSE-9,96
10545,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10549,CBSE-11|CBSE-12,40
10550,CBSE-3|CBSE-4|CBSE-5,47
10555,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10557,CBSE-10|CBSE-11|CBSE-9,75
10559,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10560,CBSE-7|CBSE-8,84
10561,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10562,CBSE-4|CBSE-5,36
10568,CBSE-3|CBSE-4|CBSE-5,35
10569,CBSE-3|CBSE-4|CBSE-5,35
10581,CBSE-4|CBSE-5|CBSE-6|CBSE-7,109
10582,CBSE-10|CBSE-11|CBSE-8|CBSE-9,111
10583,CBSE-11|CBSE-12,30
10585,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10590,CBSE-3|CBSE-4,34
10591,CBSE-10|CBSE-7|CBSE-8|CBSE-9,125
10599,CBSE-11|CBSE-12,30
10601,CBSE-11|CBSE-12,20
10602,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10603,CBSE-3|CBSE-4,34
10605,CBSE-3|CBSE-4|CBSE-5,46
10608,CBSE-11|CBSE-12,39
10611,CBSE-3|CBSE-4|CBSE-5,50
10613,CBSE-10|CBSE-11|CBSE-12|CBSE-9,84
10614,CBSE-11|CBSE-12,27
10623,CBSE-11|CBSE-12,40
10626,CBSE-3|CBSE-4|CBSE-5|CBSE-6,91
10631,CBSE-10|CBSE-11|CBSE-8|CBSE-9,117
10632,CBSE-11|CBSE-12,30
10638,CBSE-3|CBSE-4,34
10649,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10654,CBSE-11|CBSE-12,40
10657,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
10660,CBSE-10|CBSE-7|CBSE-8|CBSE-9,129
10661,CBSE-3,17
10663,CBSE-3|CBSE-4|CBSE-5,36
10665,CBSE-5|CBSE-6|CBSE-7,82
10666,CBSE-6|CBSE-7|CBSE-8,105
10669,CBSE-3,17
10672,CBSE-3|CBSE-4|CBSE-5|CBSE-6,90
10681,CBSE-11|CBSE-12,30
10687,CBSE-3|CBSE-4,34
10695,CBSE-3,17
10702,CBSE-11|CBSE-12,40
10703,CBSE-10|CBSE-7|CBSE-8|CBSE-9,127
10706,CBSE-3,17
10709,CBSE-3|CBSE-4,34
10710,CBSE-10|CBSE-7|CBSE-8|CBSE-9,128
10712,CBSE-3|CBSE-4|CBSE-5|CBSE-6,85
10713,CBSE-7|CBSE-8|CBSE-9,85
10714,CBSE-11|CBSE-12,30
10716,CBSE-11|CBSE-12,40
10720,CBSE-3|CBSE-4,34
10724,CBSE-3|CBSE-4|CBSE-5|CBSE-6,78
10725,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
10727,CBSE-3|CBSE-4|CBSE-5,47
10730,CBSE-11|CBSE-12,39
10735,CBSE-6|CBSE-7|CBSE-8|CBSE-9,127
10739,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
10746,CBSE-3|CBSE-4|CBSE-5,49
10747,CBSE-10|CBSE-8|CBSE-9,109
10751,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10755,CBSE-11|CBSE-12,25
10763,CBSE-3,17
10764,CBSE-3|CBSE-4|CBSE-5|CBSE-6,49
10766,CBSE-3|CBSE-4,34
10769,CBSE-3|CBSE-4|CBSE-5|CBSE-6,87
10774,CBSE-11|CBSE-12,34
10775,CBSE-3|CBSE-4|CBSE-5|CBSE-6,89
10781,CBSE-3,17
10782,CBSE-3|CBSE-4,34
10785,CBSE-3,17
10786,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10789,CBSE-3|CBSE-4|CBSE-5|CBSE-6,81
10792,CBSE-3|CBSE-4|CBSE-5|CBSE-6,85
10793,CBSE-3,17
10796,CBSE-3|CBSE-4,33
10803,CBSE-3|CBSE-4,34
10806,CBSE-3|CBSE-4|CBSE-5|CBSE-6,88
10809,CBSE-3|CBSE-4|CBSE-5,35
10811,CBSE-3|CBSE-4|CBSE-5|CBSE-6,92
10814,CBSE-3|CBSE-4,34
